Unnamed: 0,file_name,bbox,license_plate.id,license_plate.visibility,license_plate.rows_count,license_plate.number,license_plate.serial,license_plate.country,license_plate.color,license_plate.mask,license_plate.region
0,29866880.jpg,"[0.0, 0.6222222222222222, 0.2640625, 0.8694444444444445]",aff2d75a-7367-4a91-a103-8acedd79a3ca,fully_visible,1.0,990CEZ_15_,,Kazakhstan,,"[0.00078125, 0.7916666666666666, 0.00078125, 0.8138888888888889, 0.05703125, 0.8125, 0.05703125, 0.7916666666666666]",
1,900900.jpg,"[0.18125, 0.4736111111111111, 0.5375, 0.8277777777777777]",d0d7b295-a82c-493b-95c8-aaaaea3dfd30,fully_visible,1.0,_X_938TRN,,Kazakhstan,,"[0.24375, 0.6361111111111111, 0.31015625, 0.6388888888888888, 0.30859375, 0.6625, 0.24140625, 0.6611111111111111]",
2,4531200.jpg,"[0.484375, 0.2777777777777778, 0.79921875, 0.8194444444444444]",bc670867-17b2-4b32-a25b-1f82b968db8d,fully_visible,1.0,T033BA_39_,,Kazakhstan,,"[0.521875, 0.5166666666666667, 0.603125, 0.525, 0.60234375, 0.5569444444444445, 0.52109375, 0.5458333333333333]",
4,23726080.jpg,"[0.43046875, 0.5611111111111111, 0.72890625, 0.9875]",799bef55-6c18-44fd-bda1-5bbd66509cb4,fully_visible,1.0,791CCZ_01_,,Kazakhstan,,"[0.51953125, 0.7638888888888888, 0.61640625, 0.7625, 0.61484375, 0.8, 0.51953125, 0.8013888888888889]",
5,15206400.jpg,"[0.203125, 0.5347222222222222, 0.57578125, 0.9833333333333333]",42b2f9f2-d8dc-4005-b0e9-7a584c0494af,fully_visible,1.0,_X_096EAO,,Kazakhstan,,"[0.32890625, 0.8013888888888889, 0.44921875, 0.7930555555555555, 0.4515625, 0.8375, 0.32890625, 0.8458333333333333]",
8,3194880.jpg,"[0.55703125, 0.6236111111111111, 0.77890625, 0.9861111111111112]",134e32b6-546c-4c44-8635-12c210edbcdb,fully_visible,1.0,062FJA_01_,,Kazakhstan,,"[0.63515625, 0.7888888888888889, 0.63671875, 0.8166666666666667, 0.703125, 0.8111111111111111, 0.7015625, 0.7847222222222222]",
9,13617920.jpg,"[0.51015625, 0.7430555555555556, 0.88359375, 0.9930555555555556]",e91a69d6-fe78-4013-a9fd-8ea5fa16e87f,fully_visible,1.0,345PVA_03_,,Kazakhstan,,"[0.5515625, 0.9138888888888889, 0.553125, 0.8861111111111111, 0.60390625, 0.8888888888888888, 0.60234375, 0.925]",
11,27340800.jpg,"[0.4234375, 0.5333333333333333, 0.63515625, 0.8583333333333333]",ed140446-fa52-4918-a354-14346efddead,fully_visible,1.0,_X_731YON,,Kazakhstan,,"[0.50390625, 0.6833333333333333, 0.50390625, 0.7125, 0.575, 0.7138888888888889, 0.57578125, 0.6861111111111111]",
13,5468160.jpg,"[0.3171875, 0.5638888888888889, 0.49609375, 0.8263888888888888]",0878fd79-0da2-44df-888f-8a679623730b,fully_visible,1.0,_X_654WUN,,Kazakhstan,,"[0.3703125, 0.6666666666666666, 0.36953125, 0.6944444444444444, 0.43046875, 0.6986111111111111, 0.43125, 0.6708333333333333]",
15,16066560.jpg,"[0.61015625, 0.42083333333333334, 0.9421875, 0.8277777777777777]",2c180ca1-588f-427b-9c6f-484eb23acc2d,fully_visible,1.0,077CCA_13_,,Kazakhstan,,"[0.7953125, 0.6236111111111111, 0.8625, 0.6194444444444445, 0.8640625, 0.65, 0.79609375, 0.6541666666666667]",
1406,29866880.jpg,"[0.58984375, 0.6236111111111111, 0.64296875, 0.7305555555555555]",e5d01251-fd3c-43e9-9641-3a68c7cef3e0,fully_visible_no_text,,,,Kazakhstan,,"[0.59921875, 0.7, 0.5984375, 0.7069444444444445, 0.609375, 0.7083333333333334, 0.61015625, 0.7]",
1511,15206400.jpg,"[0.50546875, 0.7458333333333333, 0.59296875, 0.9055555555555556]",35cf345e-967c-4ab5-a423-4133d086c04d,partly_visible_no_text,,,,Kazakhstan,,,
2061,900900.jpg,"[0.4953125, 0.4527777777777778, 0.83359375, 0.9055555555555556]",e0a0cccb-d41f-4c17-80d3-56b690cf8ed8,fully_visible,1.0,366HNA_13_,,Kazakhstan,,"[0.603125, 0.6486111111111111, 0.6015625, 0.6875, 0.71328125, 0.6972222222222222, 0.7140625, 0.6597222222222222]",
2758,16066560.jpg,"[0.1859375, 0.5319444444444444, 0.5828125, 0.9805555555555555]",4fd25f57-4947-4ef4-be0c-90a10ff16141,fully_visible,1.0,_X_096EAO,,Kazakhstan,,"[0.31953125, 0.8194444444444444, 0.44921875, 0.8125, 0.45, 0.8555555555555555, 0.31875, 0.8652777777777778]",
2953,5468160.jpg,"[0.59609375, 0.5777777777777777, 0.91015625, 0.8944444444444445]",a1626ae9-a823-426e-889e-e116c88c049f,fully_visible,1.0,_X_258PDN,,Kazakhstan,,"[0.80859375, 0.725, 0.86875, 0.7194444444444444, 0.87109375, 0.7486111111111111, 0.8109375, 0.7569444444444444]",
3669,15206400.jpg,"[0.78125, 0.6805555555555556, 0.8453125, 0.7847222222222222]",3bfbb593-d78f-40cb-8f54-ae27e2a266da,invisible,,,,Kazakhstan,,,
